datesold,price
2007-06,300000.0
2007-07,330000.0
2007-08,320000.0
2007-09,401800.0
2007-10,405000.0
2007-11,481000.0
2007-12,269475.0
2008-01,363250.0
2008-02,515000.0
2008-03,400000.0
2008-04,438000.0
2008-05,385750.0
2008-06,413650.0
2008-07,531666.6666666666
2008-08,393166.6666666667
2008-09,436277.77777777775
2008-10,360384.6153846154
2008-11,388564.28571428574
2008-12,367090.9090909091
2009-01,366595.0
2009-02,399023.8095238095
2009-03,376762.6
2009-04,371591.6666666667
2009-05,422766.6666666667
2009-06,370575.0
2009-07,385981.25
2009-08,438406.6666666667
2009-09,446145.0
2009-10,466769.23076923075
2009-11,410875.0
2009-12,384175.0
2010-01,435020.0
2010-02,432333.3333333333
2010-03,488294.1176470588
2010-04,482166.6666666667
2010-05,488925.0
2010-06,419653.8461538461
2010-07,462573.3333333333
2010-08,451787.5
2010-09,453110.625
2010-10,445191.6666666667
2010-11,409422.6666666667
2010-12,416975.0
2011-01,413888.8888888889
2011-02,407954.54545454547
2011-03,467366.6666666667
2011-04,504888.8888888889
2011-05,405894.7368421053
2011-06,454550.0
2011-07,530250.0
2011-08,458909.0909090909
2011-09,408845.0
2011-10,433187.5
2011-11,450736.84210526315
2011-12,406583.3333333333
2012-01,412400.0
2012-02,424291.6666666667
2012-03,494821.4285714286
2012-04,476375.0
2012-05,409423.07692307694
2012-06,366357.14285714284
2012-07,424379.4117647059
2012-08,445195.652173913
2012-09,448800.0
2012-10,399227.2727272727
2012-11,439009.04545454547
2012-12,493156.25
2013-01,423747.22222222225
2013-02,389116.17647058825
2013-03,400526.0
2013-04,424575.0
2013-05,412826.6666666667
2013-06,422275.0
2013-07,431671.05263157893
2013-08,441239.1304347826
2013-09,439916.6666666667
2013-10,457500.0
2013-11,402456.53571428574
2013-12,527805.0
2014-01,432840.0
2014-02,459910.0
2014-03,396734.0
2014-04,416265.625
2014-05,422750.0
2014-06,474261.1111111111
2014-07,441083.3333333333
2014-08,396195.45454545453
2014-09,413238.09523809527
2014-10,476086.95652173914
2014-11,519222.9166666667
2014-12,450304.6875
2015-01,437661.54545454547
2015-02,458170.73170731706
2015-03,455500.0
2015-04,453274.0740740741
2015-05,423265.9696969697
2015-06,500900.0
2015-07,421856.24242424243
2015-08,421630.76923076925
2015-09,423274.1935483871
2015-10,464688.679245283
2015-11,463242.42424242425
2015-12,438585.5263157895
2016-01,466214.28571428574
2016-02,442432.0
2016-03,469246.6666666667
2016-04,408721.6216216216
2016-05,444380.95238095237
2016-06,481010.25641025644
2016-07,453204.54545454547
2016-08,410791.6666666667
2016-09,496816.25
2016-10,490264.44444444444
2016-11,470366.8653846154
2016-12,436361.36363636365
2017-01,404759.72222222225
2017-02,445274.0
2017-03,459530.9682539682
2017-04,445449.03846153844
2017-05,446608.7068965517
2017-06,438564.3617021277
2017-07,405558.82352941175
2017-08,455532.07547169813
2017-09,413444.2156862745
2017-10,475218.75
2017-11,455768.05555555556
2017-12,494404.25531914894
2018-01,426202.32558139536
2018-02,468131.84375
2018-03,484945.652173913
2018-04,419576.70588235295
2018-05,479364.1666666667
2018-06,448271.4285714286
2018-07,418140.6140350877
2018-08,457211.4791666667
2018-09,454753.0444444445
2018-10,412408.4893617021
2018-11,464811.320754717
2018-12,432144.1176470588
2019-01,394130.0
2019-02,430227.2727272727
2019-03,398793.75
2019-04,431436.3095238095
2019-05,489565.5172413793
2019-06,482085.29411764705
2019-07,438268.76923076925
