,Name,Team,Position,Height,College,Number,Age,Weight,Salary
0,Avery Bradley,Boston Celtics,PG,6-2,Texas,0.0,25.0,180.0,7730337.0
1,Jae Crowder,Boston Celtics,SF,6-6,Marquette,99.0,25.0,235.0,6796117.0
2,John Holland,Boston Celtics,SG,6-5,Boston University,30.0,27.0,205.0,0.0
3,R.J. Hunter,Boston Celtics,SG,6-5,Georgia State,28.0,22.0,185.0,1148640.0
4,Jonas Jerebko,Boston Celtics,PF,6-10,N/A,8.0,29.0,231.0,5000000.0
5,Amir Johnson,Boston Celtics,PF,6-9,N/A,90.0,29.0,240.0,12000000.0
6,Jordan Mickey,Boston Celtics,PF,6-8,LSU,55.0,21.0,235.0,1170960.0
7,Kelly Olynyk,Boston Celtics,C,7-0,Gonzaga,41.0,25.0,238.0,2165160.0
8,Terry Rozier,Boston Celtics,PG,6-2,Louisville,12.0,22.0,190.0,1824360.0
9,Marcus Smart,Boston Celtics,PG,6-4,Oklahoma State,36.0,22.0,220.0,3431040.0
10,Jared Sullinger,Boston Celtics,C,6-9,Ohio State,7.0,24.0,260.0,2569260.0
11,Isaiah Thomas,Boston Celtics,PG,5-9,Washington,4.0,27.0,185.0,6912869.0
12,Evan Turner,Boston Celtics,SG,6-7,Ohio State,11.0,27.0,220.0,3425510.0
13,James Young,Boston Celtics,SG,6-6,Kentucky,13.0,20.0,215.0,1749840.0
14,Tyler Zeller,Boston Celtics,C,7-0,North Carolina,44.0,26.0,253.0,2616975.0
15,Bojan Bogdanovic,Brooklyn Nets,SG,6-8,N/A,44.0,27.0,216.0,3425510.0
16,Markel Brown,Brooklyn Nets,SG,6-3,Oklahoma State,22.0,24.0,190.0,845059.0
17,Wayne Ellington,Brooklyn Nets,SG,6-4,North Carolina,21.0,28.0,200.0,1500000.0
18,Rondae Hollis-Jefferson,Brooklyn Nets,SG,6-7,Arizona,24.0,21.0,220.0,1335480.0
19,Jarrett Jack,Brooklyn Nets,PG,6-3,Georgia Tech,2.0,32.0,200.0,6300000.0
20,Sergey Karasev,Brooklyn Nets,SG,6-7,N/A,10.0,22.0,208.0,1599840.0
21,Sean Kilpatrick,Brooklyn Nets,SG,6-4,Cincinnati,6.0,26.0,219.0,134215.0
22,Shane Larkin,Brooklyn Nets,PG,5-11,Miami (FL),0.0,23.0,175.0,1500000.0
23,Brook Lopez,Brooklyn Nets,C,7-0,Stanford,11.0,28.0,275.0,19689000.0
24,Chris McCullough,Brooklyn Nets,PF,6-11,Syracuse,1.0,21.0,200.0,1140240.0
25,Willie Reed,Brooklyn Nets,PF,6-10,Saint Louis,33.0,26.0,220.0,947276.0
26,Thomas Robinson,Brooklyn Nets,PF,6-10,Kansas,41.0,25.0,237.0,981348.0
27,Henry Sims,Brooklyn Nets,C,6-10,Georgetown,14.0,26.0,248.0,947276.0
28,Donald Sloan,Brooklyn Nets,PG,6-3,Texas A&M,15.0,28.0,205.0,947276.0
29,Thaddeus Young,Brooklyn Nets,PF,6-8,Georgia Tech,30.0,27.0,221.0,11235955.0
30,Arron Afflalo,New York Knicks,SG,6-5,UCLA,4.0,30.0,210.0,8000000.0
31,Lou Amundson,New York Knicks,PF,6-9,UNLV,17.0,33.0,220.0,1635476.0
32,Thanasis Antetokounmpo,New York Knicks,SF,6-7,N/A,43.0,23.0,205.0,30888.0
33,Carmelo Anthony,New York Knicks,SF,6-8,Syracuse,7.0,32.0,240.0,22875000.0
34,Jose Calderon,New York Knicks,PG,6-3,N/A,3.0,34.0,200.0,7402812.0
35,Cleanthony Early,New York Knicks,SF,6-8,Wichita State,11.0,25.0,210.0,845059.0
36,Langston Galloway,New York Knicks,SG,6-2,Saint Joseph's,2.0,24.0,200.0,845059.0
37,Jerian Grant,New York Knicks,PG,6-4,Notre Dame,13.0,23.0,195.0,1572360.0
38,Robin Lopez,New York Knicks,C,7-0,Stanford,8.0,28.0,255.0,12650000.0
39,Kyle O'Quinn,New York Knicks,PF,6-10,Norfolk State,9.0,26.0,250.0,3750000.0
40,Kristaps Porzingis,New York Knicks,PF,7-3,N/A,6.0,20.0,240.0,4131720.0
41,Kevin Seraphin,New York Knicks,C,6-10,N/A,1.0,26.0,278.0,2814000.0
42,Lance Thomas,New York Knicks,SF,6-8,Duke,42.0,28.0,235.0,1636842.0
43,Sasha Vujacic,New York Knicks,SG,6-7,N/A,18.0,32.0,195.0,947276.0
44,Derrick Williams,New York Knicks,PF,6-8,Arizona,23.0,25.0,240.0,4000000.0
45,Tony Wroten,New York Knicks,SG,6-6,Washington,5.0,23.0,205.0,167406.0
46,Elton Brand,Philadelphia 76ers,PF,6-9,Duke,42.0,37.0,254.0,0.0
47,Isaiah Canaan,Philadelphia 76ers,PG,6-0,Murray State,0.0,25.0,201.0,947276.0
48,Robert Covington,Philadelphia 76ers,SF,6-9,Tennessee State,33.0,25.0,215.0,1000000.0
49,Joel Embiid,Philadelphia 76ers,C,7-0,Kansas,21.0,22.0,250.0,4626960.0
50,Jerami Grant,Philadelphia 76ers,SF,6-8,Syracuse,39.0,22.0,210.0,845059.0
51,Richaun Holmes,Philadelphia 76ers,PF,6-10,Bowling Green,22.0,22.0,245.0,1074169.0
52,Carl Landry,Philadelphia 76ers,PF,6-9,Purdue,7.0,32.0,248.0,6500000.0
