id,country,region,borrower_genders
658776,El Salvador,Ciudad El Triunfo,male
1314847,Philippines,"Bais, Negros Oriental",female
863063,Peru,Huarochiri,"female, female, female, female, female, female, female"
1184347,Armenia,Vanadzor town,female
729745,Uganda,Masindi,female
766484,Kenya,Msambweni,female
1133162,Pakistan,Lahore,female
1152653,Philippines,"Isabela, Negros Occidental",female
1070561,Guatemala,Solola,male
1321354,Turkey,,female
685876,Philippines,Caloocan City,female
1063415,Philippines,"Calbayog City, Samar",female
686921,Philippines,"Puerto Princesa, Palawan",female
977552,Philippines,"Garcia Hernandez, Bohol",female
836963,Kyrgyzstan,"Tepe-Korgon village, Osh region",female
745657,Philippines,"Paniqui, Tarlac",female
1136589,Jordan,Ajloun,female
1156199,Philippines,"Cadiz, Negros Occidental",female
848859,Paraguay,San Ignacio,male
1191351,Kenya,Kerugoya,female
1049704,Kenya,Kitale,female
855669,Indonesia,Garut,female
1040492,Peru,Cusco,male
883638,Philippines,"Calatrava, Negros Occidental",female
1336206,Philippines,Molave Zamboanga del Sur,female
806147,Nigeria,Kaduna,female
1220247,Haiti,Grand'Anse. Caracolie,female
690566,Albania,Lezhe,female
1219165,Philippines,Dipolog -Zamboanga del Norte,female
1183722,Liberia,Caldwell,female
693712,Mali,Koutiala,female
961892,Peru,"Distrito Santa Ana,Provincia La Convencion","male, male, female, female, female, female, female, female, male, male"
1049857,Honduras,"Gracias, Lempira",male
1009912,Uganda,Tororo,male
1117335,Vietnam,Thạch Thành,female
794407,Ecuador,Olmedo,female
709984,Bolivia,El Alto,male
1218721,Madagascar,Talata,female
1241565,Philippines,"Santo Nino, Tukuran, Zamboanga del Sur",female
874836,Colombia,Momil,male
1163035,Lebanon,Nabatieh,female
792308,Cambodia,"Kampong Speu Province, Thporng District","female, female, male, male"
693949,Nicaragua,Managua,male
933803,Philippines,Caloocan City,female
807949,Colombia,Soledad (Atlántico),female
733201,Uganda,Kasese,female
1294509,Pakistan,Muzaffargarh,female
790621,El Salvador,,male
1090356,United States,,male
1131838,Philippines,"La Carlota, Negros Occidental",female
697576,Zimbabwe,mwenezi,female
1233814,Togo,Tokoin,female
1081411,Kenya,,female
668335,Azerbaijan,,male
672061,Uganda,Rubaga Road,male
1196818,Philippines,Oroquieta- Oroquieta City,female
1304378,Vietnam,Thôn 2 Quảng Lộc,female
709624,Vietnam,Bac Ninh,female
782869,Paraguay,Ciudad del Este,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
876662,Kenya,Kisii,male
893915,Guatemala,Chajul,"female, female, female, female, female, female"
666512,Vietnam,Thanh Hoa City,"female, female, female"
836666,Jordan,Wihdat,female
1036590,Mali,Sido (Sido),"male, female, female, female, female"
1183193,Mali,Yangasso,"male, female, female, female, female, female, male, female, male, female"
1172495,Samoa,Faleasiu,female
807115,El Salvador,,female
915255,Georgia,Borjomi,male
1051126,Philippines,"Kabankalan, Negros Occidental",female
848707,Paraguay,Caaguazú,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1233174,Samoa,Samalaeulu Leauvaa,female
1127193,Uganda,Bundibugyo,female
951045,Bolivia,El Alto,female
830132,Philippines,"San Miguel, Bohol",female
1018986,Kenya,Webuye,"female, male, male, female, female, female, male, female, male, female, female, female, male"
1163677,Vietnam,"Bo Trach, Quang Binh",female
1315168,Philippines,"Baybay City, Leyte",female
1132288,Mexico,Monterrey,female
1237593,Cambodia,Siem Reap Province,female
799201,Philippines,"Payao, Zamboanga Sibugay",male
997179,Philippines,"Ilog, Negros Occidental",female
661893,Palestine,gaza,male
809496,Bolivia,Cochabamba,"male, female, female, female, male, female, female, female, male"
924160,Palestine,Jenin-West Bank,female
769795,Cambodia,Kampong Cham,female
1022549,Philippines,"Narra, Palawan",female
1179906,Philippines,"Minglanilla, Cebu",female
843657,Vietnam,Thanh Hoá,female
1164224,Kenya,Nakuru,female
1068413,Uganda,Kasese,female
881807,Philippines,"Pontevedra, Negros Occidental",female
1245069,Guatemala,Solola,"female, female, female, female"
1220760,Timor-Leste,Maliana,female
726339,Kenya,Nakuru,female
963481,Philippines,"Bacolod City, Negros Occidental",female
1195704,Colombia,Barranquilla,male
817617,Senegal,,female
1051946,El Salvador,,male
855298,Philippines,"Jimenez-Villalin, Panaon, Misamis Occidental",male
1114955,Philippines,"Isabela, Negros Occidental",female
1171221,Pakistan,Rawalpindi,female
673505,Philippines,"Dacal la Fugu,Camalaniugan Cagayan",female
735440,Philippines,"Hinigaran, Negros Occidental",female
664890,Philippines,"Minglanilla, Cebu",female
750861,Philippines,"Narra, Palawan",female
719848,Philippines,"Bogo, Cebu",female
976412,Ecuador,San Gabriel,male
1245266,Philippines,"Butuay,Jimenez,Misamis Occidental",female
919307,Paraguay,Encarnación,female
746335,Zimbabwe,Binga,female
935583,Pakistan,Haripur,female
1039018,Colombia,Sincelejo,male
769581,United States,,
672498,Philippines,"Calbayog City, Samar",female
807725,Kenya,Kerugoya,female
1252026,Kenya,Bungoma,female
1254351,Uganda,Buwenge,female
824800,Pakistan,Arifwala,female
1073183,Philippines,"Siquijor, Negros Oriental",female
859680,Palestine,"Dier Al-Balah, Gaza Strip",male
662135,Philippines,"Clarin, Misamis Occidental",female
752110,Nigeria,Kaduna,female
1084098,United States,,female
786892,Nicaragua,Somotillo,female
1092503,Cameroon,Yaoundé,female
1135265,Peru,Huaycan,"male, male, female, female, female, female"
1243451,Peru,Lima Norte,"female, female, male, female, female, female, female"
1208797,Tanzania,Dar es Salaam,"female, female"
860638,Philippines,"Ormoc City, Leyte",male
678426,Samoa,"Fagamalo, Savaii",female
1103527,Egypt,Baniswef,male
1268118,Cambodia,Kompong Cham,"female, male, female, male"
687454,Guatemala,Solola,female
1229790,Kenya,Muhoroni,female
964326,Ghana,Bolga,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1265363,Haiti,Croix-des-Bouquets,male
1292856,Philippines,"Liloan, Cebu",female
1186270,Philippines,"Calatrava, Negros Occidental",female
783507,Ghana,Chorkor,"female, female"
1020406,Cambodia,"Takeo Province, Bati District","female, female, female"
1255831,Philippines,"Bindoy, Negros Oriental",female
685507,El Salvador,Ciudad El Triunfo,male
701805,Cambodia,Kampong Speu Province,male
848788,Philippines,"San Dionisio, Iloilo",female
991890,Ecuador,Portoviejo,female
774647,Pakistan,Lahore,female
822583,Nicaragua,Managua,"female, female, female"
1179766,Thailand,Rongkwang,female
1207474,Philippines,"Dumangas, Iloilo City",female
1286420,Philippines,"Ubay, Bohol",female
1032238,Pakistan,Lahore,female
668815,Mali,Bougouni,"female, female, female, female"
936084,Tajikistan,Khuroson,female
1106370,Philippines,"GMA, Cavite",female
1292386,Philippines,"Numancia, Aklan",female
1265655,Indonesia,Tangerang,female
1054619,Timor-Leste,Zumalai,female
874928,United States,North Carolina,male
893750,Bolivia,El Alto,female
793723,Cambodia,"Siem Reap Province, Srey Snom district",female
826748,Indonesia,Tangerang,female
771541,Samoa,Faleula,female
765368,Cameroon,"Ntamulung, Bamenda, NW. Province",female
1211280,Guatemala,"patzicia, chimaltenango","male, male"
934961,Kenya,Samburu,male
790938,Tajikistan,Gissar,female
1275044,Nigeria,Kaduna,male
896450,El Salvador,,male
1216917,Tajikistan,Vahdat,male
1273844,Philippines,"Maasin City, Leyte",female
1119544,Kenya,Kilifi,male
936657,Bolivia,El Alto,female
1122617,Philippines,"Pulupandan, Negros Occidental",female
910183,Uganda,Mbarara,female
902205,Philippines,"Palo, Leyte",female
1143042,Samoa,"Leualesi, Leauvaa",female
674213,Philippines,"Villaluz, Delfin Albano,Isabela",female
911552,Haiti,Bon Repos,male
949841,El Salvador,San Miguel,male
913452,Philippines,"La Castellana, Negros Occidental",female
973214,Philippines,"Calatrava, Negros Occidental",female
968246,Colombia,Sincelejo,female
1178622,Madagascar,Antananarivo,female
1032448,Philippines,"Palo, Leyte",female
1272894,Lebanon,Metn,female
699717,Philippines,"Minglanilla, Cebu",female
740033,Philippines,"Clarin, Misamis Occidental",female
963510,Uganda,Kamwenge,female
1116982,Pakistan,Hafizabad,female
711904,Vietnam,Thai Binh,female
1094663,Zimbabwe,Harare,"female, female"
1262844,Kenya,Kilifi,female
1020866,Mozambique,"Boane, Maputo",female
902363,Philippines,"President Roxas, Capiz",female
1249083,Pakistan,Muzaffargarh,female
1097532,Indonesia,Tangerang,female
978445,El Salvador,,female
945738,Kenya,Makueni,female
1127153,Honduras,San Lorenzo,female
1057476,Bolivia,La Paz,male
1034866,Philippines,"Quezon, Palawan",female
782906,Peru,Lima,male
1131816,Philippines,"La Carlota, Negros Occidental",female
807010,Jordan,Ajloun,male
693461,Philippines,"San Carlos, Negros Occidental",female
919951,India,Dhupguri,female
1131093,Philippines,"Sibulan, Negros Oriental",female
1050995,Peru,Cusco,female
1280700,Philippines,"Binalbagan 2, Negros Occicental",female
1336033,Guatemala,Totonicapan,"female, female, female, female, female, female, female, female"
1214426,India,Khurda,female
1153151,Nicaragua,Masaya,female
867100,Tajikistan,Khujand,female
1082211,Kenya,,female
844414,Colombia,Medellín,female
1090252,United States,,male
692371,Jordan,Wihdat,female
1048653,Philippines,"Sibulan, Negros Oriental",female
1112848,Togo,Agoe,female
924616,El Salvador,,female
1048781,Cambodia,Prey Veng,"female, female, female, female, female"
1193864,Philippines,"Mabinay, Negros Oriental",female
1228184,Cambodia,Kompong Cham,"female, female, female"
777401,Kenya,Kisumu,female
921081,Myanmar (Burma),Dedaye,male
960432,Philippines,"Guihulngan, Negros Oriental",female
872470,Nicaragua,Masaya,"female, male, female"
895772,Bolivia,Achacachi,male
1226834,Togo,Kégué,female
1289317,Cambodia,Kompong Cham,female
768217,Zimbabwe,Gokwe North,female
1229489,Philippines,"Sibalom, Antique",female
1223938,Bolivia,La Paz,female
910992,El Salvador,,female
870027,Paraguay,Santaní,male
1308069,El Salvador,San Vicente,male
1016773,Pakistan,Multan,female
955750,Philippines,"Silang, Cavite",female
707615,Mali,Dioïla ,"female, female, female, female"
808335,Philippines,"Bindoy, Negros Oriental",female
680224,Liberia,Airport,female
960022,El Salvador,,female
843688,Kenya,Eldoret,male
653313,Kenya,Voi,female
855864,Togo,Agoe,female
897509,Azerbaijan,Fuzuli region,male
846759,El Salvador,,female
1114126,Philippines,"Plaridel-Unidos, Plaridel, Misamis Occidental",female
667269,Philippines,"Dumangas, Iloilo City",female
848694,Colombia,Medellín,female
924169,Tanzania,Dar es Salaam,"female, female, female"
1072798,Colombia,Copacabana,male
1087649,Kenya,,female
1219100,Pakistan,Mansehra,female
1101103,Pakistan,Rawalpindi,female
665399,Kyrgyzstan,Kara-Balta,female
831040,The Democratic Republic of the Congo,"Goma, North Kivu province","female, female, female, male, female, female, female, female, female, female, female, female, female, female, female, male, female, male, female, female, male, male, male, female"
997318,Armenia,"Lusaghogh village, Ararat region",female
831813,Kenya,Tiribe,female
1298256,Philippines,"Catarman, Northern Samar",female
1147712,Ecuador,San Gabriel,male
774352,Mexico,Tetla de la Solidaridad,male
778373,Cambodia,Kompong Thom,"male, female"
850145,Philippines,"Manapla, Negros Occidental",female
781619,Kenya,Nairobi,"female, female, female, female, female, female"
1315948,Philippines,"Lapu-Lapu, Cebu",female
927282,Egypt,Baniswef,female
677505,Uganda,Bundibugyo,male
735304,Samoa,Fusi Saoluafata,female
987615,Kenya,Mwea,female
972053,El Salvador,La Unión,male
696856,Kenya,Nairobi,female
1290688,Uganda,Bombo Road,male
1225177,Kenya,Kitale,female
1290196,Cambodia,Takeo,"female, female"
1237869,Philippines,Sogod Leyte,female
791504,Philippines,"Bindoy, Negros Oriental",female
1229286,El Salvador,Gotera,female
777125,El Salvador,Usulután,male
755551,Philippines,"Calaoagan, San Guillermo, Isabela",female
689928,Pakistan,Jhang,female
775622,Peru,Cusco,male
886285,Ghana,Darkuman,male
752852,Philippines,Taguig City,female
1286784,Kenya,Nkubu,female
991606,Tajikistan,Spitamen,female
887414,Philippines,Ozamiz - Ozamiz City,female
981717,Peru,Calca - Calca - Cusco,"female, female, female, female, female, female, female, male, female"
723198,Kenya,Tiribe,female
1125467,Albania,Korce,female
1176271,Guatemala,"San Adres Itzapa,Chimaltenango",female
1207023,Liberia,West Point,female
