id,funded_amount,currency,term_in_months
658776,1000.0,USD,20.0
1314847,225.0,PHP,13.0
863063,1150.0,PEN,6.0
1184347,1700.0,AMD,26.0
729745,400.0,UGX,8.0
766484,350.0,KES,13.0
1133162,575.0,PKR,14.0
1152653,325.0,PHP,8.0
1070561,925.0,GTQ,14.0
1321354,725.0,TRY,8.0
685876,450.0,PHP,6.0
1063415,150.0,PHP,7.0
686921,500.0,PHP,8.0
977552,650.0,PHP,12.0
836963,350.0,KGS,14.0
745657,250.0,PHP,14.0
1136589,375.0,JOD,15.0
1156199,250.0,PHP,14.0
848859,875.0,PYG,15.0
1191351,200.0,KES,14.0
1049704,375.0,KES,14.0
855669,275.0,IDR,14.0
1040492,600.0,PEN,6.0
883638,150.0,PHP,8.0
1336206,75.0,PHP,11.0
806147,75.0,NGN,14.0
1220247,750.0,HTG,11.0
690566,1975.0,ALL,38.0
1219165,100.0,PHP,7.0
1183722,275.0,LRD,11.0
693712,1050.0,XOF,11.0
961892,1625.0,PEN,8.0
1049857,375.0,HNL,14.0
1009912,1775.0,UGX,20.0
1117335,900.0,VND,20.0
794407,1075.0,USD,7.0
709984,300.0,BOB,8.0
1218721,125.0,MGA,7.0
1241565,75.0,PHP,8.0
874836,225.0,COP,12.0
1163035,1425.0,USD,17.0
792308,200.0,KHR,13.0
693949,600.0,NIO,15.0
933803,225.0,PHP,6.0
807949,400.0,COP,14.0
733201,325.0,UGX,8.0
1294509,300.0,PKR,14.0
790621,500.0,USD,14.0
1090356,700.0,USD,24.0
1131838,450.0,PHP,8.0
697576,500.0,USD,8.0
1233814,400.0,XOF,12.0
1081411,125.0,KES,3.0
668335,1300.0,AZN,14.0
672061,1225.0,UGX,14.0
1196818,300.0,PHP,8.0
1304378,900.0,VND,17.0
709624,750.0,VND,20.0
782869,6050.0,PYG,5.0
876662,275.0,KES,12.0
893915,4250.0,GTQ,14.0
666512,1225.0,VND,14.0
836666,1025.0,JOD,18.0
1036590,125.0,XOF,5.0
1183193,2775.0,XOF,9.0
1172495,800.0,WST,14.0
807115,1000.0,USD,26.0
915255,2000.0,USD,5.0
1051126,300.0,PHP,8.0
848707,5725.0,PYG,8.0
1233174,1100.0,WST,14.0
1127193,275.0,UGX,8.0
951045,725.0,BOB,14.0
830132,275.0,PHP,7.0
1018986,675.0,KES,11.0
1163677,475.0,VND,26.0
1315168,225.0,PHP,8.0
1132288,150.0,MXN,26.0
1237593,2175.0,USD,86.0
799201,225.0,PHP,25.0
997179,225.0,PHP,8.0
661893,1500.0,USD,39.0
809496,3300.0,BOB,7.0
924160,1000.0,USD,27.0
769795,300.0,USD,17.0
1022549,325.0,PHP,7.0
1179906,250.0,PHP,8.0
843657,725.0,VND,20.0
1164224,800.0,KES,14.0
1068413,225.0,UGX,8.0
881807,625.0,PHP,8.0
1245069,5425.0,GTQ,14.0
1220760,1500.0,USD,19.0
726339,250.0,KES,14.0
963481,200.0,PHP,8.0
1195704,325.0,COP,14.0
817617,300.0,XOF,11.0
1051946,700.0,USD,11.0
855298,150.0,PHP,8.0
1114955,550.0,PHP,8.0
1171221,575.0,PKR,14.0
673505,125.0,PHP,8.0
735440,350.0,PHP,8.0
664890,275.0,PHP,11.0
750861,250.0,PHP,8.0
719848,225.0,PHP,25.0
976412,500.0,USD,15.0
1245266,200.0,PHP,8.0
919307,1400.0,PYG,15.0
746335,500.0,USD,8.0
935583,250.0,PKR,14.0
1039018,325.0,COP,14.0
769581,2750.0,USD,20.0
672498,200.0,PHP,8.0
807725,350.0,KES,14.0
1252026,400.0,KES,14.0
1254351,300.0,UGX,14.0
824800,400.0,PKR,14.0
1073183,175.0,PHP,8.0
859680,1425.0,USD,27.0
